"Short","Long","Male","Female","Group","ThermoM","ThermoF"
"ss","Serial 7s",78.2624547630328,50.9985714288937,"Cognitive","\Cell{ssMales.pdf}","\Cell{ssFemales.pdf}"
"c20b","Backwards counting",79.6563202191361,54.2369957523461,"Cognitive","\Cell{c20bMales.pdf}","\Cell{c20bFemales.pdf}"
"name_mo","Naming month",80.553738718605,63.2786991018282,"Cognitive","\Cell{namemoMales.pdf}","\Cell{namemoFemales.pdf}"
"name_dmo","Naming day of month",80.4824502177129,67.8852252419027,"Cognitive","\Cell{namedmoMales.pdf}","\Cell{namedmoFemales.pdf}"
"name_yr","Naming year",76.8891359134468,54.8844120061755,"Cognitive","\Cell{nameyrMales.pdf}","\Cell{nameyrFemales.pdf}"
"name_dwk","Naming day of week",85.8056369261474,69.934468139215,"Cognitive","\Cell{namedwkMales.pdf}","\Cell{namedwkFemales.pdf}"
"name_sci","Naming scissors",77.2033222460514,67.4705994592182,"Cognitive","\Cell{namesciMales.pdf}","\Cell{namesciFemales.pdf}"
"name_cac","Naming cactus",50.1992513106985,52.1758334941282,"Cognitive","\Cell{namecacMales.pdf}","\Cell{namecacFemales.pdf}"
"name_pres","Naming president",80.9333292720447,33.8649812580129,"Cognitive","\Cell{namepresMales.pdf}","\Cell{namepresFemales.pdf}"
"name_vp","Naming VP",73.5971227558595,51.9280090494013,"Cognitive","\Cell{namevpMales.pdf}","\Cell{namevpFemales.pdf}"
"vocab","Vocabulary score",79.3343674099626,52.6177250344776,"Cognitive","\Cell{vocabMales.pdf}","\Cell{vocabFemales.pdf}"
"tm","Mental status summary",81.2458308481348,51.9965794083875,"Cognitive","\Cell{tmMales.pdf}","\Cell{tmFemales.pdf}"
"med_exp","Imputed total medical expend.",96.4916369488437,95.2559494236318,"Healthcare","\Cell{medexpMales.pdf}","\Cell{medexpFemales.pdf}"
"dwr","Delayed word recall",55.2336623164625,28.6343992866913,"Cognitive","\Cell{dwrMales.pdf}","\Cell{dwrFemales.pdf}"
"twr","Total word recall",55.8496467728602,34.3272133489331,"Cognitive","\Cell{twrMales.pdf}","\Cell{twrFemales.pdf}"
"iwr","Immediate word recall",56.7118403364806,41.0970247048511,"Cognitive","\Cell{iwrMales.pdf}","\Cell{iwrFemales.pdf}"
"mprob","Memory prob. at interview",89.6705231040965,86.6522603613442,"Cognitive","\Cell{mprobMales.pdf}","\Cell{mprobFemales.pdf}"
"mprobev","Memory prob. Ever",89.9723768172473,79.7096488696982,"Cognitive","\Cell{mprobevMales.pdf}","\Cell{mprobevFemales.pdf}"
"med_explog","log medical expenditure",94.0352242764901,96.5642130163428,"Healthcare","\Cell{medexplogMales.pdf}","\Cell{medexplogFemales.pdf}"
